Pathway	diff.gene	All-gene 	Pvalue
mRNA surveillance pathway	9	224	0.9765688
Inositol phosphate metabolism	4	125	0.977392
Endocytosis	29	584	0.9808777
Propanoate metabolism	1	56	0.9823716
Cysteine and methionine metabolism	11	270	0.9829614
Phosphatidylinositol signaling system	4	131	0.9833912
Pyrimidine metabolism	21	452	0.9837561
Pentose and glucuronate interconversions	22	471	0.9844663
Citrate cycle (TCA cycle)	1	68	0.992591
Lysine degradation	1	69	0.9931075
Sulfur metabolism	5	171	0.9934086
Basal transcription factors	1	76	0.9958441
Ascorbate and aldarate metabolism	8	247	0.9962619
N-Glycan biosynthesis	1	78	0.9964036
Fructose and mannose metabolism	2	111	0.9969163
Sesquiterpenoid and triterpenoid biosynthesis	2	111	0.9969163
Pentose phosphate pathway	3	139	0.9971487
Amino sugar and nucleotide sugar metabolism	17	432	0.9972529
Purine metabolism	22	528	0.9975122
Phagosome	3	142	0.9976147
Cyanoamino acid metabolism	14	381	0.9978767
Biosynthesis of amino acids	17	441	0.9980393
"Valine, leucine and isoleucine degradation"	1	91	0.9985953
Spliceosome	22	545	0.9986253
Carbon metabolism	15	440	0.9995753
Oxidative phosphorylation	3	192	0.9998892
RNA degradation	10	367	0.9999043
RNA transport	14	486	0.9999787
Ribosome	12	452	0.9999869
