geneid	koid
Cs1g04570	K10999
Cs1g04600	K13091
Cs1g04610	K14525
Cs1g04620	K20393
Cs1g04640	K10807
Cs1g04650	K12900
Cs1g04670	K14521
Cs1g04680	K12900
Cs1g04690	K03035
Cs1g04700	K16675
Cs1g04750	K17637
Cs1g04760	K22075
Cs1g04780	K01051
Cs1g04810	K21867
Cs1g04830	K09260
Cs1g04850	K17573
Cs1g04870	K09838
Cs1g04880	K08819
Cs1g04900	K09838
Cs1g04910	K00083
Cs1g04950	K21407
Cs1g04970	K09481
Cs1g04980	K02876
Cs1g04990	K01956
Cs1g05000	K10355
Cs1g05015	K12447
Cs1g05020	K19040
Cs1g05030	K04733
Cs1g05040	K19040
Cs1g05050	K01188
Cs1g05060	K19040
Cs1g05070	K04733
Cs1g05090	K19040
Cs1g05100	K08331
Cs1g05110	K17279
Cs1g05120	K13428
Cs1g05130	K12162
Cs1g05140	K14326
Cs1g05150	K08269
Cs1g05160	K20799
Cs1g05170	K08269
Cs1g05180	K04733
Cs1g05190	K04733
Cs1g05200	K04733
Cs1g05210	K09131
Cs1g05220	K13493
Cs1g05230	K04733
Cs1g05240	K04733
Cs1g05250	K04733
Cs1g05270	K17943
Cs1g05280	K08867
Cs1g05290	K08867
Cs1g05310	K18195
Cs1g05320	K04730
Cs1g05330	K16196
Cs1g05340	K13428
Cs1g05350	K04733
Cs1g05360	K08272
Cs1g05370	K13428
Cs1g05380	K04730
Cs1g05400	K10398
Cs1g05410	K20241
Cs1g05420	K13172
Cs1g05430	K20725
Cs1g05440	K09537
Cs1g05450	K15503
Cs1g05460	K04733
Cs1g05470	K11643
Cs1g05490	K02879
Cs1g05500	K20890
Cs1g05510	K01051
Cs1g05520	K03320
Cs1g05530	K18412
Cs1g05540	K10863
Cs1g05550	K16573
Cs1g05560	K05747
Cs1g05570	K10751
Cs1g05610	K12823
Cs1g05630	K12162
Cs1g05640	K11294
Cs1g05690	K03798
Cs1g05720	K01051
Cs1g05730	K15078
Cs1g05750	K19801
Cs1g05760	K03094
Cs1g05810	K13065
Cs1g05820	K13065
Cs1g05830	K11000
Cs1g05835	K11000
Cs1g05840	K13065
Cs1g05850	K00485
Cs1g05860	K11000
Cs1g05880	K01265
Cs1g05890	K22048
Cs1g05900	K00759
Cs1g05910	K00485
Cs1g05920	K00485
Cs1g05930	K00485
Cs1g05940	K13412
Cs1g05950	K13412
Cs1g05960	K04733
Cs1g05970	K04733
Cs1g05990	K07393
Cs1g06000	K11866
Cs1g06010	K16465
Cs1g06020	K16465
Cs1g06040	K19939
Cs1g06050	K20165
Cs1g06060	K08770
Cs1g06070	K10278
Cs1g06090	K15429
Cs1g06095	K15429
Cs1g06100	K12813
Cs1g06110	K04120
Cs1g06120	K10278
Cs1g06130	K15429
Cs1g06150	K11836
Cs1g06160	K18812
Cs1g06170	K18812
Cs1g06180	K18812
Cs1g06190	K18812
Cs1g06200	K18812
Cs1g06220	K09422
Cs1g06230	K00901
Cs1g06250	K00028
Cs1g06260	K01188
Cs1g06290	K01681
Cs1g06310	K10418
Cs1g06320	K05391
Cs1g06330	K10865
Cs1g06350	K06911
Cs1g06360	K08914
Cs1g06370	K10357
Cs1g06400	K06196
Cs1g06420	K12486
Cs1g06430	K03006
Cs1g06440	K00306
Cs1g06520	K10406
Cs1g06540	K04079
Cs1g06550	K17422
Cs1g06570	K01188
Cs1g06620	K11450
Cs1g06650	K04733
Cs1g06660	K01082
Cs1g06670	K00679
Cs1g06690	K04733
Cs1g06700	K20307
Cs1g06720	K13459
Cs1g06730	K01166
Cs1g06740	K13348
Cs1g06750	K05941
Cs1g06760	K05941
Cs1g06770	K10523
Cs1g06780	K05681
Cs1g06790	K05350
Cs1g06800	K22038
Cs1g06820	K19476
Cs1g06840	K20241
Cs1g06850	K00218
Cs1g06860	K00218
Cs1g06870	K14820
Cs1g06880	K13783
Cs1g06915	K10615
Cs1g06920	K10615
Cs1g06930	K15203
Cs1g06950	K19613
Cs1g06960	K14537
Cs1g06970	K14537
Cs1g06980	K08472
Cs1g07030	K15377
Cs1g07040	K15377
Cs1g07050	K18195
Cs1g07060	K02882
Cs1g07070	K10406
Cs1g07090	K17964
Cs1g07100	K20628
Cs1g07110	K10666
Cs1g07120	K03671
Cs1g07130	K00979
Cs1g07150	K00979
Cs1g07160	K13459
Cs1g07170	K03514
Cs1g07180	K13459
Cs1g07190	K03514
Cs1g07220	K13459
Cs1g07230	K13459
Cs1g07240	K13459
Cs1g07245	K13459
Cs1g07250	K07562
Cs1g07260	K10581
Cs1g07270	K13457
Cs1g07280	K10581
Cs1g07290	K10406
Cs1g07300	K10581
Cs1g07310	K10581
Cs1g07320	K10581
Cs1g07360	K08819
Cs1g07370	K08819
Cs1g07380	K04733
Cs1g07390	K10143
Cs1g07400	K20891
Cs1g07420	K00002
Cs1g07450	K17065
Cs1g07470	K16054
Cs1g07480	K16054
Cs1g07510	K03006
Cs1g07540	K03327
Cs1g07550	K03327
Cs1g07560	K01191
Cs1g07580	K17943
Cs1g07590	K00074
Cs1g07600	K13415
Cs1g07620	K17506
Cs1g07630	K17506
Cs1g07670	K08838
Cs1g07700	K12162
Cs1g07710	K13457
Cs1g07720	K13457
Cs1g07760	K10523
Cs1g07780	K13457
Cs1g07790	K13457
Cs1g07800	K13457
Cs1g07810	K13457
Cs1g07820	K13457
Cs1g07850	K13457
Cs1g07860	K13457
Cs1g07880	K03094
Cs1g07900	K14787
Cs1g07910	K13457
Cs1g07950	K09286
Cs1g07960	K17964
Cs1g07970	K02218
Cs1g07980	K02968
Cs1g07990	K06692
Cs1g08000	K05941
Cs1g08010	K00815
Cs1g08020	K18482
Cs1g08030	K09338
Cs1g08060	K18418
Cs1g08070	K13525
Cs1g08080	K19613
Cs1g08090	K05387
Cs1g08110	K17193
Cs1g08140	K17553
Cs1g08180	K15430
Cs1g08200	K11593
Cs1g08210	K18327
Cs1g08220	K13116
Cs1g08230	K12195
Cs1g08250	K11414
Cs1g08280	K18875
Cs1g08290	K03245
Cs1g08300	K08245
Cs1g08310	K14677
Cs1g08320	K13459
Cs1g08330	K13459
Cs1g08340	K14209
Cs1g08350	K01870
Cs1g08360	K05546
Cs1g08380	K12309
Cs1g08390	K12309
Cs1g08400	K04077
Cs1g08410	K04077
Cs1g08440	K05941
Cs1g08450	K05941
Cs1g08470	K03515
Cs1g08480	K00128
Cs1g08485	K21891
Cs1g08500	K15407
Cs1g08510	K21867
Cs1g08520	K00815
Cs1g08530	K14806
Cs1g08540	K17872
Cs1g08560	K10352
Cs1g08580	K13436
Cs1g08600	K00901
Cs1g08610	K00799
Cs1g08620	K00487
Cs1g08640	K12823
Cs1g08650	K10352
Cs1g08690	K01956
Cs1g08700	K17604
Cs1g08710	K01188
Cs1g08720	K13434
Cs1g08730	K18195
Cs1g08740	K04733
Cs1g08750	K09833
Cs1g08760	K15121
Cs1g08770	K03063
Cs1g08780	K10398
Cs1g08810	K03063
Cs1g08820	K04733
Cs1g08840	K02866
Cs1g08880	K05663
Cs1g08890	K11266
Cs1g08900	K07305
Cs1g08920	K03283
Cs1g08950	K20858
Cs1g08960	K00485
Cs1g08970	K17964
Cs1g09000	K01051
Cs1g09010	K00485
Cs1g09020	K00485
Cs1g09030	K04420
Cs1g09040	K04567
Cs1g09050	K15340
Cs1g09060	K15340
Cs1g09070	K19525
Cs1g09080	K15356
Cs1g09100	K15503
Cs1g09110	K06170
Cs1g09130	K02701
Cs1g09140	K02701
Cs1g09160	K13428
Cs1g09170	K20181
Cs1g09180	K02701
Cs1g09190	K13428
Cs1g09200	K17573
Cs1g09210	K04730
Cs1g09220	K20181
Cs1g09230	K11843
Cs1g09240	K20181
Cs1g09250	K20667
Cs1g09256	K11843
Cs1g09260	K11843
Cs1g09280	K07910
Cs1g09290	K03021
Cs1g09300	K08332
Cs1g09310	K02689
Cs1g09320	K20299
Cs1g09325	K01858
Cs1g09330	K15078
Cs1g09340	K14175
Cs1g09350	K15078
Cs1g09360	K13496
Cs1g09363	K07195
Cs1g09370	K15078
Cs1g09380	K15078
Cs1g09390	K19613
Cs1g09402	K01858
Cs1g09404	K19613
Cs1g09410	K19613
Cs1g09430	K19613
Cs1g09440	K11866
Cs1g09450	K00764
Cs1g09470	K19613
Cs1g09490	K15422
Cs1g09500	K00166
Cs1g09520	K11407
Cs1g09530	K05681
Cs1g09540	K19589
Cs1g09560	K07088
Cs1g09570	K07088
Cs1g09620	K03006
Cs1g09680	K10398
Cs1g09700	K07478
Cs1g09730	K09527
Cs1g09740	K09422
Cs1g09750	K01179
Cs1g09760	K01179
Cs1g09820	K08592
Cs1g09840	K15449
Cs1g09850	K08065
Cs1g09870	K18195
Cs1g09880	K05282
Cs1g09890	K05282
Cs1g09900	K05282
Cs1g09910	K16280
Cs1g09920	K02327
Cs1g09950	K16743
Cs1g09960	K21630
Cs1g09990	K03495
Cs1g10000	K02358
Cs1g10010	K20093
Cs1g10030	K17964
Cs1g10050	K08592
Cs1g10070	K21867
Cs1g10100	K04733
Cs1g10110	K01537
Cs1g10115	K03165
Cs1g10120	K07305
Cs1g10130	K03165
Cs1g10150	K05906
Cs1g10170	K17492
Cs1g10190	K00660
Cs1g10200	K13420
Cs1g10210	K03320
Cs1g10220	K17686
Cs1g10230	K17964
Cs1g10240	K00213
Cs1g10245	K13120
Cs1g10250	K08900
Cs1g10260	K04733
Cs1g10270	K08900
Cs1g10280	K08900
Cs1g10290	K07739
Cs1g10300	K17604
Cs1g10310	K17710
Cs1g10330	K22048
Cs1g10360	K17604
Cs1g10370	K17604
Cs1g10380	K10691
Cs1g10389	K06966
Cs1g10390	K06966
Cs1g10400	K03013
Cs1g10410	K03283
Cs1g10420	K17604
Cs1g10440	K13459
Cs1g10450	K13459
Cs1g10460	K13459
Cs1g10470	K13459
Cs1g10490	K13459
Cs1g10500	K20623
Cs1g10510	K17943
Cs1g10520	K14442
Cs1g10530	K09833
Cs1g10540	K00512
Cs1g10550	K02937
Cs1g10560	K14696
Cs1g10570	K01230
Cs1g10580	K10398
Cs1g10590	K17604
Cs1g10600	K21444
Cs1g10610	K19939
Cs1g10620	K20891
Cs1g10640	K12117
Cs1g10700	K10656
Cs1g10720	K13428
Cs1g10730	K20718
Cs1g10740	K15503
Cs1g10745	K00432
Cs1g10750	K15813
Cs1g10760	K19530
Cs1g10770	K13420
Cs1g10780	K13420
Cs1g10790	K04730
Cs1g10800	K11294
Cs1g10810	K14677
Cs1g10820	K17422
Cs1g10830	K04730
Cs1g10850	K02469
Cs1g10860	K04730
Cs1g10880	K08248
Cs1g10890	K01528
Cs1g10900	K13459
Cs1g10910	K13459
Cs1g10920	K13459
Cs1g10940	K13459
Cs1g10960	K13459
Cs1g10970	K13459
Cs1g10980	K08176
Cs1g10990	K13459
Cs1g11020	K13459
Cs1g11030	K20891
Cs1g11040	K13459
Cs1g11050	K13459
Cs1g11060	K06630
Cs1g11070	K13459
Cs1g11080	K13459
Cs1g11090	K13459
Cs1g11100	K12581
Cs1g11110	K17824
Cs1g11140	K09874
Cs1g11150	K09874
Cs1g11160	K02937
Cs1g11170	K08495
Cs1g11180	K08495
Cs1g11190	K00512
Cs1g11200	K15414
Cs1g11225	K17824
Cs1g11230	K14297
Cs1g11240	K04733
Cs1g11270	K04733
Cs1g11280	K04733
Cs1g11290	K04733
Cs1g11310	K04733
Cs1g11320	K20599
Cs1g11330	K01209
Cs1g11340	K13104
Cs1g11350	K22068
Cs1g11360	K14794
Cs1g11390	K20599
Cs1g11410	K20599
Cs1g11420	K14972
Cs1g11430	K20599
Cs1g11440	K14972
Cs1g11460	K11593
Cs1g11480	K01193
Cs1g11500	K07195
Cs1g11510	K01193
Cs1g11520	K01193
Cs1g11530	K01193
Cs1g11580	K14300
Cs1g11590	K14300
Cs1g11600	K01193
Cs1g11630	K01193
Cs1g11640	K01193
Cs1g11660	K04733
Cs1g11670	K00052
Cs1g11690	K10632
Cs1g11700	K10268
Cs1g11710	K13420
Cs1g11720	K09286
Cs1g11730	K13459
Cs1g11740	K21594
Cs1g11750	K02956
Cs1g11760	K10268
Cs1g11770	K21952
Cs1g11780	K13065
Cs1g11790	K00943
Cs1g11800	K04733
Cs1g11820	K15502
Cs1g11830	K17086
Cs1g11840	K15502
Cs1g11850	K15502
Cs1g11860	K11592
Cs1g11870	K01535
Cs1g11880	K09286
Cs1g11890	K14298
Cs1g11900	K19613
Cs1g11910	K04733
Cs1g11920	K04733
Cs1g11930	K04733
Cs1g11940	K14298
Cs1g11960	K04733
Cs1g11970	K04733
Cs1g11980	K04733
Cs1g11990	K04733
Cs1g12000	K09833
Cs1g12010	K04733
Cs1g12020	K04733
Cs1g12030	K20599
Cs1g12040	K11294
Cs1g12050	K13459
Cs1g12060	K10903
Cs1g12070	K10903
Cs1g12080	K10903
Cs1g12090	K17604
Cs1g12100	K13459
Cs1g12110	K17604
Cs1g12120	K17604
Cs1g12130	K13459
Cs1g12140	K13459
Cs1g12150	K13459
Cs1g12160	K13459
Cs1g12170	K13459
Cs1g12180	K03452
Cs1g12190	K20599
Cs1g12200	K13459
Cs1g12210	K13459
Cs1g12230	K17604
Cs1g12240	K10903
Cs1g12245	K04733
Cs1g12260	K03106
Cs1g12280	K03686
Cs1g12300	K05282
Cs1g12310	K05278
Cs1g12330	K16279
Cs1g12340	K19090
Cs1g12350	K00430
Cs1g12360	K13153
Cs1g12370	K12856
Cs1g12380	K04733
Cs1g12390	K20718
Cs1g12400	K07200
Cs1g12410	K21888
Cs1g12420	K20416
Cs1g12430	K20416
Cs1g12440	K14490
Cs1g12450	K01303
Cs1g12460	K03239
Cs1g12470	K00604
Cs1g12490	K19891
Cs1g12550	K12813
Cs1g12560	K13993
Cs1g12600	K01115
Cs1g12620	K09286
Cs1g12630	K20472
Cs1g12660	K00588
Cs1g12670	K00588
Cs1g12680	K20279
Cs1g12690	K01213
Cs1g12730	K01184
Cs1g12740	K01213
Cs1g12750	K03025
Cs1g12760	K13280
Cs1g12770	K17964
Cs1g12780	K17964
Cs1g12800	K17964
Cs1g12810	K14611
Cs1g12830	K01462
Cs1g12840	K01462
Cs1g12860	K13496
Cs1g12870	K10732
Cs1g12880	K13496
Cs1g12910	K13459
Cs1g12920	K13459
Cs1g12930	K13459
Cs1g12940	K13459
Cs1g12970	K09486
Cs1g12975	K09486
Cs1g12980	K13459
Cs1g13010	K13459
Cs1g13030	K20599
Cs1g13033	K09486
Cs1g13036	K09486
Cs1g13050	K13459
Cs1g13070	K20599
Cs1g13090	K13459
Cs1g13100	K20599
Cs1g13110	K01528
Cs1g13130	K15407
Cs1g13140	K08286
Cs1g13150	K11864
Cs1g13170	K14546
Cs1g13180	K01191
Cs1g13190	K07390
Cs1g13200	K14558
Cs1g13210	K21776
Cs1g13220	K06130
Cs1g13230	K10576
Cs1g13240	K02265
Cs1g13250	K02295
Cs1g13260	K00413
Cs1g13270	K20599
Cs1g13290	K03097
Cs1g13310	K06573
Cs1g13320	K06573
Cs1g13330	K13137
Cs1g13340	K11251
Cs1g13370	K00485
Cs1g13380	K20599
Cs1g13390	K13459
Cs1g13400	K13459
Cs1g13410	K13459
Cs1g13420	K20599
Cs1g13430	K13459
Cs1g13460	K13459
Cs1g13470	K13459
Cs1g13480	K13459
Cs1g13500	K13459
Cs1g13510	K20599
Cs1g13520	K18368
Cs1g13530	K03301
Cs1g13540	K03063
Cs1g13560	K01179
Cs1g13570	K09422
Cs1g13580	K06180
Cs1g13610	K10581
Cs1g13620	K16296
Cs1g13640	K16296
Cs1g13650	K16296
Cs1g13660	K16296
Cs1g13670	K12349
Cs1g13680	K16296
Cs1g13690	K16296
Cs1g13700	K16296
Cs1g13710	K16296
Cs1g13720	K16296
Cs1g13730	K16296
Cs1g13740	K04125
Cs1g13750	K01951
Cs1g13760	K04125
Cs1g13770	K04125
Cs1g13780	K17925
Cs1g13800	K12813
Cs1g13810	K04125
Cs1g13820	K01951
Cs1g13830	K04124
Cs1g13840	K04124
Cs1g13860	K07767
Cs1g13870	K07767
Cs1g13880	K04733
Cs1g13900	K04733
Cs1g13910	K04733
Cs1g13920	K04733
Cs1g13930	K02938
Cs1g13940	K06627
Cs1g13950	K15918
Cs1g13960	K14484
Cs1g13970	K14484
Cs1g13980	K06184
Cs1g13990	K10663
Cs1g14000	K20792
Cs1g14010	K10803
Cs1g14020	K13420
Cs1g14030	K13459
Cs1g14040	K13420
Cs1g14070	K19893
Cs1g14080	K13457
Cs1g14090	K13459
Cs1g14110	K13459
Cs1g14120	K13459
Cs1g14150	K13420
Cs1g14160	K03878
Cs1g14180	K13420
Cs1g14183	K17686
Cs1g14186	K17686
Cs1g14200	K13420
Cs1g14210	K13420
Cs1g14230	K08592
Cs1g14250	K13420
Cs1g14260	K13420
Cs1g14270	K08911
Cs1g14280	K13420
Cs1g14290	K05909
Cs1g14300	K19476
Cs1g14320	K03029
Cs1g14330	K07889
Cs1g14340	K01834
Cs1g14350	K11843
Cs1g14390	K14807
Cs1g14410	K13065
Cs1g14430	K13065
Cs1g14440	K13065
Cs1g14450	K13065
Cs1g14470	K11136
Cs1g14480	K09489
Cs1g14510	K20478
Cs1g14520	K20318
Cs1g14530	K17471
Cs1g14540	K11843
Cs1g14550	K01802
Cs1g14560	K04628
Cs1g14570	K16196
Cs1g14580	K17302
Cs1g14600	K17302
Cs1g14610	K15304
Cs1g14630	K11843
Cs1g14670	K04733
Cs1g14700	K00609
Cs1g14720	K11699
Cs1g14730	K11699
Cs1g14740	K01187
Cs1g14770	K13420
Cs1g14790	K13420
Cs1g14800	K13420
Cs1g14805	K17686
Cs1g14810	K22038
Cs1g14820	K04733
Cs1g14830	K04733
Cs1g14840	K04733
Cs1g14850	K04733
Cs1g14860	K04733
Cs1g14870	K04733
Cs1g14880	K04733
Cs1g14893	K04733
Cs1g14896	K04733
Cs1g14910	K04733
Cs1g14920	K04733
Cs1g14930	K11843
Cs1g14940	K11843
Cs1g14950	K06215
Cs1g14960	K06215
Cs1g14970	K06215
Cs1g14980	K10393
Cs1g14990	K08592
Cs1g15000	K08592
Cs1g15010	K00430
Cs1g15020	K11273
Cs1g15030	K02922
Cs1g15040	K17925
Cs1g15050	K04730
Cs1g15070	K11996
Cs1g15090	K11996
Cs1g15100	K11996
Cs1g15110	K09580
Cs1g15120	K09580
Cs1g15130	K10418
Cs1g15140	K15919
Cs1g15150	K15919
Cs1g15160	K10418
Cs1g15170	K02695
Cs1g15180	K00430
Cs1g15190	K02961
Cs1g15200	K09338
Cs1g15210	K06180
Cs1g15220	K21776
Cs1g15240	K20286
Cs1g15250	K10867
Cs1g15260	K11843
Cs1g15270	K18660
Cs1g15290	K11843
Cs1g15320	K14638
Cs1g15360	K14638
Cs1g15370	K06664
Cs1g15380	K20131
Cs1g15390	K14484
Cs1g15410	K03946
Cs1g15420	K16794
Cs1g15430	K18666
Cs1g15440	K09873
Cs1g15450	K17800
Cs1g15460	K00784
Cs1g15470	K00784
Cs1g15480	K18183
Cs1g15490	K18183
Cs1g15510	K09286
Cs1g15520	K04485
Cs1g15530	K03006
Cs1g15540	K03798
Cs1g15550	K15078
Cs1g15570	K14313
Cs1g15590	K17895
Cs1g15600	K14004
Cs1g15620	K17943
Cs1g15640	K09338
Cs1g15670	K03350
Cs1g15680	K02218
Cs1g15690	K02218
Cs1g15710	K16296
Cs1g15720	K00029
Cs1g15730	K08869
Cs1g15740	K14497
Cs1g15750	K14497
Cs1g15760	K14490
Cs1g15770	K15174
Cs1g15780	K15075
Cs1g15820	K04733
Cs1g15830	K14484
Cs1g15840	K00844
Cs1g15850	K14376
Cs1g15890	K05759
Cs1g15900	K03024
Cs1g15920	K20728
Cs1g15930	K20728
Cs1g15940	K20728
Cs1g15950	K17710
Cs1g15960	K01412
Cs1g15970	K00850
Cs1g15990	K00679
Cs1g16000	K00679
Cs1g16010	K04733
Cs1g16030	K00469
Cs1g16040	K04733
Cs1g16050	K04733
Cs1g16060	K03006
Cs1g16070	K04733
Cs1g16080	K04733
Cs1g16090	K04733
Cs1g16100	K16750
Cs1g16110	K04733
Cs1g16120	K04733
Cs1g16130	K04733
Cs1g16140	K04733
Cs1g16150	K01535
Cs1g16160	K01535
Cs1g16180	K01379
Cs1g16190	K05387
Cs1g16210	K16279
Cs1g16230	K14431
Cs1g16240	K03950
Cs1g16250	K09567
Cs1g16270	K19026
Cs1g16273	K14300
Cs1g16280	K04681
Cs1g16290	K11436
Cs1g16300	K18417
Cs1g16310	K02942
Cs1g16320	K04681
Cs1g16325	K14300
Cs1g16330	K10418
Cs1g16370	K12878
Cs1g16410	K05284
Cs1g16420	K12581
Cs1g16430	K22312
Cs1g16440	K03061
Cs1g16450	K03061
Cs1g16470	K03691
Cs1g16480	K05857
Cs1g16500	K04554
Cs1g16510	K03860
Cs1g16520	K17569
Cs1g16540	K14790
Cs1g16550	K01051
Cs1g16560	K01051
Cs1g16570	K00814
Cs1g16580	K02729
Cs1g16600	K00921
Cs1g16610	K03239
Cs1g16620	K03239
Cs1g16660	K09260
Cs1g16670	K15333
Cs1g16680	K13199
Cs1g16690	K09286
Cs1g16700	K20131
